data,produto,categoria,preco,quantidade,valor_total
2025-09-04,Anel Safira,Joalheria,3900.00,3,11700.00
2025-09-05,Brinco Pérola,Joalheria,950.00,4,3800.00
2025-09-06,Anel Ouro 18K,Joalheria,3500.00,5,17500.00
2025-09-07,Colar Pérola,Joalheria,2200.00,1,2200.00
2025-09-08,Pulseira Prata,Joalheria,480.00,2,960.00
2025-09-09,Brinco Diamante,Joalheria,5200.00,3,15600.00
2025-09-10,Relógio Luxo,Joalheria,7800.00,4,31200.00
2025-09-11,Pingente Coração,Joalheria,650.00,5,3250.00
2025-09-12,Aliança Casamento,Joalheria,2800.00,1,2800.00
2025-09-13,Bracelete Ouro,Joalheria,4100.00,2,8200.00
2025-09-14,Brinco Prata,Joalheria,300.00,3,900.00
2025-09-15,Colar Ouro Branco,Joalheria,4600.00,4,18400.00
2025-09-16,Anel Safira,Joalheria,3900.00,5,19500.00
2025-09-17,Brinco Pérola,Joalheria,950.00,1,950.00
2025-09-18,Anel Ouro 18K,Joalheria,3500.00,2,7000.00
2025-09-19,Colar Pérola,Joalheria,2200.00,3,6600.00
2025-09-20,Pulseira Prata,Joalheria,480.00,4,1920.00
2025-09-21,Brinco Diamante,Joalheria,5200.00,5,26000.00
2025-09-22,Relógio Luxo,Joalheria,7800.00,1,7800.00
2025-09-23,Pingente Coração,Joalheria,650.00,2,1300.00
2025-09-24,Aliança Casamento,Joalheria,2800.00,3,8400.00
2025-09-25,Bracelete Ouro,Joalheria,4100.00,4,16400.00
2025-09-26,Brinco Prata,Joalheria,300.00,5,1500.00
2025-09-27,Colar Ouro Branco,Joalheria,4600.00,1,4600.00
2025-09-28,Anel Safira,Joalheria,3900.00,2,7800.00
2025-09-29,Brinco Pérola,Joalheria,950.00,3,2850.00
2025-09-30,Anel Ouro 18K,Joalheria,3500.00,4,14000.00
